,DATE,STATION,NAME,TAVG,TMAX,TMIN
324,2020-11-20,IN001080500,"BEGUMPET OBSERVATORY, IN",25.3,31.6,
325,2020-11-21,IN001080500,"BEGUMPET OBSERVATORY, IN",24.9,32.2,18.9
326,2020-11-22,IN001080500,"BEGUMPET OBSERVATORY, IN",24.6,33,
327,2020-11-23,IN001080500,"BEGUMPET OBSERVATORY, IN",23.1,31.5,
328,2020-11-24,IN001080500,"BEGUMPET OBSERVATORY, IN",22.4,29.8,
329,2020-11-25,IN001080500,"BEGUMPET OBSERVATORY, IN",23.4,30.3,14.6
330,2020-11-26,IN001080500,"BEGUMPET OBSERVATORY, IN",21.9,30,19.5
331,2020-11-27,IN001080500,"BEGUMPET OBSERVATORY, IN",18.4,25.7,
332,2020-11-28,IN001080500,"BEGUMPET OBSERVATORY, IN",20.3,,17
333,2020-11-29,IN001080500,"BEGUMPET OBSERVATORY, IN",22.8,,18.8
334,2020-11-30,IN001080500,"BEGUMPET OBSERVATORY, IN",23.3,,18
335,2020-12-01,IN001080500,"BEGUMPET OBSERVATORY, IN",22.8,30.1,17.2
336,2020-12-02,IN001080500,"BEGUMPET OBSERVATORY, IN",22.5,29.8,
337,2020-12-03,IN001080500,"BEGUMPET OBSERVATORY, IN",22.3,30.4,
338,2020-12-04,IN001080500,"BEGUMPET OBSERVATORY, IN",22,29.8,
339,2020-12-05,IN001080500,"BEGUMPET OBSERVATORY, IN",21.7,29.4,
340,2020-12-06,IN001080500,"BEGUMPET OBSERVATORY, IN",21.8,30.4,
341,2020-12-07,IN001080500,"BEGUMPET OBSERVATORY, IN",22.9,31.6,
342,2020-12-08,IN001080500,"BEGUMPET OBSERVATORY, IN",21.8,30.7,
343,2020-12-09,IN001080500,"BEGUMPET OBSERVATORY, IN",22.2,30.5,
344,2020-12-10,IN001080500,"BEGUMPET OBSERVATORY, IN",23.2,30.1,
345,2020-12-11,IN001080500,"BEGUMPET OBSERVATORY, IN",23.4,30.9,
346,2020-12-12,IN001080500,"BEGUMPET OBSERVATORY, IN",22.9,32.2,
347,2020-12-13,IN001080500,"BEGUMPET OBSERVATORY, IN",22.7,29.4,
348,2020-12-14,IN001080500,"BEGUMPET OBSERVATORY, IN",22.8,29.3,
349,2020-12-15,IN001080500,"BEGUMPET OBSERVATORY, IN",22.8,30.2,
350,2020-12-16,IN001080500,"BEGUMPET OBSERVATORY, IN",22.1,29.2,
351,2020-12-17,IN001080500,"BEGUMPET OBSERVATORY, IN",22.8,,
352,2020-12-18,IN001080500,"BEGUMPET OBSERVATORY, IN",22.7,29.8,
353,2020-12-19,IN001080500,"BEGUMPET OBSERVATORY, IN",21,30.2,
354,2020-12-20,IN001080500,"BEGUMPET OBSERVATORY, IN",20.2,28.8,
355,2020-12-21,IN001080500,"BEGUMPET OBSERVATORY, IN",20.1,28.4,
356,2020-12-22,IN001080500,"BEGUMPET OBSERVATORY, IN",20.1,28.7,
357,2020-12-23,IN001080500,"BEGUMPET OBSERVATORY, IN",20.7,29.4,
358,2020-12-24,IN001080500,"BEGUMPET OBSERVATORY, IN",21.7,28.6,14.2
359,2020-12-25,IN001080500,"BEGUMPET OBSERVATORY, IN",20.3,28.2,
360,2020-12-26,IN001080500,"BEGUMPET OBSERVATORY, IN",20.4,21.2,
361,2020-12-27,IN001080500,"BEGUMPET OBSERVATORY, IN",21.2,21.2,
362,2020-12-28,IN001080500,"BEGUMPET OBSERVATORY, IN",21.2,21.2,
363,2020-12-29,IN001080500,"BEGUMPET OBSERVATORY, IN",21.2,21.2,
364,2020-12-30,IN001080500,"BEGUMPET OBSERVATORY, IN",20,20,
365,2020-12-31,IN001080500,"BEGUMPET OBSERVATORY, IN",19,19,
